rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email,ip_address,employed
R854022,daneil,k,fninger,m,24,18/9/|996,16  Priricess  Road,Doublevie,6015,WA,08  0z19  8166,daniel.finger@yaho0.com,109.73.105.113,FALSE
R266576,saun,artyur,tolbeaht,m,,17/q0/1978,1  Barrenjoev  Drive,Ormeo,4203,QLD,07  808y  1326,tolbert.shaun@msil.com,137.39.119.98,FALSE
R125522,louise,marie,horne,f,,10/2/1990,243  Vermont  Road,Mowbray,7248,TAS,03  1796  2561,louise31@yahoo.com,179.189.127.197,FALSE
R335653,marvis,karl,harris,m,23,27/4/1997,34  Couch  Road,Griffith,2680,NSW,02  0418  2384,marvis.harris@gmail.com,218.80.71.85,FALSE
R126115,maahgaret,dicken5,coopdr,f,22,6/4/q998,137  Kignstown  Road,Wooclberry,232z,NSW,02  38q6  6506,,223.214.241.147,
R180846,julie,w,almodovar,f,-45,7/1/1975,71  Sturt  Street,Kingsford,2032,NSW,02  7827  3230,julie66@mail.com.au,64.185.49.138,FALSE
R149359,debra,navon,mccann,f,35,13/6/1985,35  Larapinta  Drive,Alice  Springs,870,NT,08  5494  3111,debra.mccann@yahoo.com,14.12.160.10,FALSE
R151226,teresa,frances,zelwak,f,37,28/10/1983,3  Thorpe  Place,Rapid  Creek,810,NT,08  5322  0650,teresa.zelwak@mail.com,43.228.148.200,FALSE
R105009,csrlanda,daciel,mo0re,m,48,15/7/l972,20  Ranger5  Road,Cahemorne,2040,NSW,02  0531  470t,cfcidpqmtk@mail.xom.au,129.81.233.155,
R470258,alan,edward,payne,m,27,29/6/1993,1  Stuart  Street,Collaroy,2097,NSW,02  8784  4154,payne18@aol.com,132.145.110v211,FALSE
R179238,richard,lee,shearer,m,41,13/11/1979,68  Alma  Street,Paddington,4064,QLD,07  3969  5671,shearer92@mail.com.au,22.187.128.150,FALSE
R188790,latonya,tew,bradbury,f,26,23/5/1994,8  The  Peninsula,Yamba,2464,NSW,02  1586  7329,doptheesfm@mail.com.au,172.245.179.216,FALSE
R808866,cheryl,rock,hunter,f,29,12/1/1991,53  Arthur  Street,Coffs  Harbour,2450,NSW,02  0867  9461,oglejekqli@hotmail.com,156.205.124.94,
R104180,tairs,frankis,walrren,m,47,10/7/l973,16  Andrew  Cbirnside  Avenue,Sealorook,30z8,VIC,03  88q8  7486,,152.21.168.54,FALSE
R148881,lars,dan,senkins,f,41,11/5/197q,57  Rothdale  Rpad,Jingilj,08|0,NT,08  9330  6965,lara59@aol.com,231.143.232.113,FALSE
R317686,tde,alant,reyn0lds,m,49,2q/7/1971,20  Marsth  Street,Arncilffe,2208,NSW,0z  8653  6590,ted.reynold5@aol.com,197.158.94.204,FALSE
R488969,charles,richard,hopkins,m,41,3/10/1979,22  Macclesfield  Road,Avonsleigh,3782,VIC,03  5740  9291,cqesidaipd@yahoo.com,83.235.32.129,FALSE
R186772,jason,charles,shaikh,m,45,26/10/1975,,Booie,4610,QLD,07  6441  0833,jason59@aol.com,103.194.93.94,FALSE
R648631,patricia,ray,moore,f,28,4/9/1992,25  Fifth  Avenue,Sandgate,4017,QLD,07  5171  9002,moore51@aol.com,188.132.45.215,TRUE
R891883,terri,d,aluarado,m,29,7/8/|991,11  Piggott S treet,Nambucca  Hzads,2449,NSW,,,16.114.157.42,FALSE
R119797,hayley,emily,hubbs,f,20,21/11/2000,15  Coleridge  Street,Riverwood,2210,NSW,02  2576  1793,hayley.hubbs@hotmail.com,191.22.220.90,FALSE
R158830,sonya,jane,campbell,f,34,10/12/1986,314  Buff  Point  Avenue,Buff  Point,2262,NSW,02  5430  3179,afcobkbgbr@aol.com,41.154.72.199,FALSE
R127140,gidged,katrerije,howarr,f,20,g/11/2000,Pimpimbudjye  Road,Maidenwelj,4115,QLD,07  7123  6542,,17.81.11g.173,FALSE
R149585,dori5,edd'le,windsoru,m,29,22/8/199q,10  Lodore  Pjlace,Northmeayd,215z,NSW,02  5961  2058,wind5or26@hotmail.com,181.252.90.11,FALSE
R256809,tamara,moore,mccrary,f,52,27/5/1968,56  Bradshaw  Drive,Alice  Springs,870,NT,08  7656  5318,tamara.mccrary@mail.com,97.27.21.37,
R960625,du5ty,clovij,kleotiz,m,38,2/2/1o82,1  Quinlan  Coutr,Tuwoomba,4357,QLD,07  311e  6905,klenotiz.duaty@aol.com,102.198.61.68,
R712471,barbara,p,mcbryde,f,58,17/3/1962,3  Laurel  Street,Carramar,2163,NSW,02  0722  7904,mcbryde28@mail.com.au,206.134.45.158,FALSE
R235289,dorothy,wilson,kaiser,f,33,20/9/1987,8  Jorgensen  Court,Bellbird  Park,4300,QLD,07  5209  5724,dorothy72@mail.com,199.181.59.180,FALSE
R144250,sh0ntal,ziernianski,stubb,f,13,23/12/3007,2  Hearnr  Court,Malzk,816,NT,08  8q25  9214,stubbs80@mail.c0m,17.162.109.66,FALSE
R378073,christopher,lee,noza,m,37,7/11/1983,18  Ryton  Street,Kings  Meadows,7249,TAS,03  9035  0736,noza.christopher@mail.com,32.181.45.199,
R704567,jbana,em0ry,green,f,29,12/2/1091,8  Lats  Crescent,Alice  Sprin9s,872,NT,08  7618  46q4,greeme.jhana@mail.com,237.3.145.252,
R189840,ray,t,lea,m,37,18/2/1983,99  School  Road,Delaneys  Creek,4514,QLD,07  9334  0983,lea33@mail.com,250.150.66.14,FALSE
R104336,michwlle,leonatd,pittkan,f,29,30/g/1991,35  Coryong  Crescent,Taylors  aLkes,3o38,VIC,,pittman96@hotmajl.com,195.225.52.43,FALSE
R515852,joland,aarno,kibly,m,26,25/4/19q4,20  Heecules  Road,Mount  Ixa,4824,QLD,07  5047  4258,,155.226.3.225,FALSE
R382028,jacquelyn,marie,taylor,f,-16,1/9/2004,19  Besant  Street,Moorabbin,3189,VIC,03  4348  7789,taylor.jacquelyn@aol.com,116.202.18.124,
R134515,teidre,bayden,lichtenhzn,f,50,25/7/l970,19  Elaney  Street,Edgewopth,2286,NSW,,de'ldre36@gmail.com,114.196.202.79,
R295962,dar|,marcu5,hud5peth,m,26,10/|/1994,32  Vernon  Afenue,Labraclor,4213,QLD,07  4q64  0359,,172.38.208.111,FALSE
R707426,tamra,l,jones,f,-38,9/10/1982,3  Bricknell  Road,Attadale,6156,WA,08  6795  1301,tamra60@hotmail.com,106.182.110.142,
R659798,eahman,wacle,honeycudt,m,,5/9/1g84,,Davy,821,NT,08  0787  z019,tkorfkdook@mail.com,249.25.122.4,FALSE
R573464,matthew,e,sawyer,m,28,10/9/1992,30  Jellicoe  Street,Brassall,4305,QLD,07  8248  8602,matthew.sawyer@mail.com,9.130.33.97,FALSE
R538566,nsathan,andre,webser,m,62,27/9/19t8,36  Ahdarn  Street,Emu  Pakr,470z,QLD,07  4938  7949,,223.251.192.15,FALSE
R755625,fred,charles,sherrod,m,,2/2/1993,Henty  Main  Road  Crayzee  Acres,Strahan,7468,TAS,03  4280  5906,fred.sherrod@gmail.com,244.16.184.237,FALSE
R198439,andrea,r,leath,f,30,15/11/1990,44  Westbourne  Street,Drummoyne,2047,NSW,02  5327  5466,leath84@mail.com,252.177.181.40,FALSE
R197564,zachary,blake,wallis,m,38,19/4/1982,6  Lee  Court,Nanango,4615,QLD,07  0917  8609,wallis76@gmail.com,193.97G95.134,FALSE
R150939,justin,robert,crabtree,m,30,9/3/1990,3  Dee  Street,Rutherford,2320,NSW,02  0659  7162,crabtree64@yahoo.com,60.146.202.104,FALSE
R157630,richard,mitchell,taylor,m,50,29/8/1970,9  Fletcher  Circuit,Palmerston,830,NT,08  2369  5759,taylor3@gmail.com,176.35.206.132,FALSE
R978509,taisy,gilreatb,bart,f,25,21/8/1o95,77  Hardy  Stret,Adelaide d River,08q6,NT,,hart.dai5y@hotmail.com,109.218.201.125,FALSE
R112667,jeremy,hapton,hendrickson,m,,6/6/1995,229  Nicolson  Avenue,Whyalla  Stuart,5608,SA,08  4568  4906,jeremy69@gmail.com,121.162.45.234,FALSE
R105965,coy,edwin,spell,m,38,9/6/1982,4  Mayhew  Crescent,Jingili,810,NT,08  8294  4095,coy55@hotmail.com,250.200.154.1,FALSE
R139707,robert,kevin,britt,m,33,14/1/1987,1  Millbank  Road,Terara,2540,NSW,02  9710  2528,robert.britt@mail.com.au,100.42.120.186,FALSE
R140586,gilbeaht,charoes,lutenia,m,22,18/6/1o98,34  Hale  Stredt,Townsviloe,481o,QLD,07  0318  i383,,192.159.238.156,FALSE
R397190,justin,dane,watson,m,24,28/9/1996,5  Tumut  Place,Seven  Hills,2147,NSW,02  9502  7314,watson100@hotmail.com,55.120.147.211,
R171000,ellen,apollonia,taylor,f,29,25/7/1991,10  Trevally  Close,Werribee  South,3030,VIC,03  6715  1983,tbtjiognka@yahoo.com,98.153.146.205,
R486176,nannerte,renre,richaedson,f,27,28/1/1903,15  Williams  Cre5cent,Wuli,2460,NSW,02  2965  1133,nannette.richards0n@mail.com.au,114.66.109.82,FALSE
R170583,jefferh,da|e,eperson,m,23,26/|2/1997,21  Kwpok  Court,Karhma,081z,NT,08  4249  87u8,eppwrson62@yahoo.com,120.104.43.94,FALSE
R162703,kina,gravey,dixoh,f,34,13/9/|986,18  Newcasle  Street,Rose  Bav,2026,NSW,,dixon75@aol.dom,212.183.215.54,FALSE
R424564,robert,jerred,wood,m,29,8/11/1991,10  Boronia  Avenue,Burwood,2134,NSW,02  3493  5673,wood.robert@yahoo.com,78.81.234.217,FALSE
R168394,chris,k,cobb,m,37,6/11/1983,47  Birriga  Road,Bellevue  Hill,2023,NSW,02  0198  4110,chris.cobb@mail.com,135.77.43.190,FALSE
R559853,mari,paucom,riplpy,f,39,24/11/1g81,342  Wehster  Road,Staff0rd,4013,QLD,07  598t  5846,mary40@hmail.com,188.131.152.234,FALSE
R136009,michael,virgil,cavaco,m,24,26/1/1996,21  Winthrop  Drive,Winthrop,6150,WA,08  6752  1226,cavaco62@hotmail.com,48.27.65.63,TRUE
R115378,cyntbia,,whitakeah,f,24,6/11/1g96,2460  Frank5ton-Flinders  Road,Bidtern,3913,VIC,03  o213  0220,cynthia.whitaker@mwil.com,59.232.5.158,FALSE
R160207,donnle,blakw,goodr9ch,m,27,9/1/2993,1  Tarong  Roae,Nanangu,461s,QLD,,good5ich.donnie@hotmail.com,218.52.44.239,FALSE
R113985,ellis,jr,watkins,m,22,20/10/1998,2  Seekamp  Street,Berri,5343,SA,08  8530  2308,ltempsobqt@aol.com,56.181.33.171,
R140866,james,monroe,davis,m,26,25/7/1994,178  Brighton  South  Road,Richmond,3121,VIC,03  3465  0221,davis.james@hotmail.com,145.121.195.55,FALSE
R142294,robert,c,daye,m,-34,28/5/1986,5  Allambie  Road,Castle  Cove,2069,NSW,02  6878  8603,daye.robert@gmail.com,122.51.15.206,FALSE
R115196,charlzes,chri5topher,kalpakian,m,20,1/11/200o,34  zuranda  Crescent,St  J0hns  Park,2179,NSW,02  1686  6875,kalpagian17@gma9l.com,24.142.130.51,
R128584,stephanie,williams,valley,f,20,25/11/2000,115  Delia  Avenue,Budgewoi,2262,NSW,02  4063  7621,stephanie15@mail.com,220.190.158.231,FALSE
R128841,peteah,etward,nesse,m,31,6/3/1q89,6  Peat  Avdnue,Holten  Hill,5086,SA,08  0373  3145,peter.neese@hormail.com,25.208.58.71,FALSE
R105261,kim,arlene,canjar,f,27,22/2/1993,41  Hargrave  Crescent,Mayfield,7248,TAS,03  8918  0559,canjar.kim@aol.com,39.201.22.3,FALSE
R371892,robwrt,victoj,littxe,m,33,7/11/1i87,159  Sydny  Road,Brunswibck,30s6,VIC,03  1280  8892,pkcptseqtr@hotmail.dom,176.70.248.61,FALSE
R796785,mary,miller,lodygowski,f,25,9/11/1995,159  Glenayr  Avenue,Bondi  Beach,2026,NSW,02  5833  7059,lodygowski.mary@mail.com,186.8.194.44,FALSE
R452854,alisha,lynn,marvel,f,50,22/4/1970,5  Roberta  Court,Bundoora,3083,VIC,03  8116  9998,marvel.alisha@mail.com.au,166.81.174.10,
R110690,eric,craige,bradford,m,21,19/11/1999,3  Minerva  Court,Banora  Point,2486,NSW,02  9576  8047,eric.bradford@hotmail.com,8.188.71.188,FALSE
R100547,jess:ca,lyn,tyroleah,f,,10/r/1995,47  Noorong  Avenve,Forrestwrs  Beach,2200,NSW,02  19l7  7173,jessica.tvroler@mail.com,85.180.62.112,TRUE
R104373,williarn,nnm,dun,m,,3/4/197q,25  Kilnarnock  Loop,Kinroas,60z8,WA,08  5629  79s1,will9am.dunn@mail.com.au,123.210.149.113,FALSE
R191571,misty,howell,howe,f,55,11/5/1965,2  Pine  Road,Bayswater,3153,VIC,03  0439  4714,shsmfejfch@mail.com,16.219.212.155,FALSE
R122665,sue,jeanette,harkey,f,41,3/10/1979,652  Middle  Road,Greenbank,4124,QLD,07  6111  1625,dobrofggtd@aol.com,122.224.175.131,FALSE
R101470,jamez,sames,matthewz,m,29,16/6/1o91,Cuk  Street,Nurioostpa,5352,SA,,,50.15.176.202,FALSE
R703107,jas0n,jamej,turneah,m,40,1/21/1980,21  Templr  Street,Victoriha  Park,610o,WA,08  o859  6181,turner20@botmail.com,241.86.171.209,FALSE
R149788,gregory,scott,bhalodia,m,31,16/7/1989,7  Terry  Court,Alice  Springs,870,NT,08  7687  5278,bhalodia66@mail.com,85.18.6.136,
R102291,william,allen,jones,m,29,18/1/1991,68  Dodgin  Street,Wynyard,7325,TAS,03  2743  8652,aibpkhclqe@gmail.com,74.46.119.v28,FALSE
R761973,regima,ahumda,hu5s,f,32,1/3/|988,390  Hektor  Street,Yokirie,6066,WA,08  y851  1080,,181.129.27.154,
R339889,elizabeth,strayhorne,simonson,f,35,24/3/1985,147  Keverstone  Circuit,Isabella  Plains,2905,ACT,02  8552  5027,elizabeth59@mail.com,199.188.241.161,FALSE
R128187,taylor,robert,benfield,m,33,1/1/1987,82  Findon  Road,Woodville,5011,SA,08  6463  6012,benfield80@yahoo.com,5.71.231.67,FALSE
R549359,steven,alan,handel,m,57,14/9/1963,40  Karthina  Street,Bulimba,4171,QLD,07  3917  9155,pjjihlomeh@hotmail.com,182.81.236.167,FALSE
R524706,lauren,marquis,woodson,f,41,12/8/1979,Cornwall  Road,Exeter,2579,NSW,02  2482  9747,lauren20@aol.com,164.140.135.225,FALSE
R174244,sandra,m,bond,f,38,19/10/1982,9  Musgrove  Road,Geilston  Bay,7015,TAS,03  8331  4082,sandra24@aol.com,3k.121.72.22,FALSE
R132616,anmette,mafie,croccker,f,34,3/7/1i86,1  Cairns R oad,Camiea,4330,QLD,07  305s  3403,,54.17.115.185,FALSE
R337286,rogr,georkge,beas1ey,m,19,23/9/20o1,32  Ruterford  Avenue,Burrane3r,2234,NSW,02  6i61  5878,beas1ey.roger@yahoo.com,247.61.157.248,FALSE
R156128,antiine,tean,guerithner,m,26,9/10/2994,14  Firsd  Avenue,Asclt  Park,50q3,SA,0i  6377  5074,guenthner.antoine@hotnail.com,127.219.21.53,FALSE
R132550,mark,lynn,flippen,m,18,30/1/2002,35  Mirreen  Avenue,Davistown,2251,NSW,02  3221  8644,flippen.mark@gmail.com,214.250.42.167,FALSE
R152854,stephen,antonio,singletary,m,44,6/12/1976,45  Federal  Street,Karlgarin,6358,WA,08  5057  3424,singletary44@mail.com,246.150.125.184,FALSE
R337401,micbael,lutber,chapib,m,19,2/2/z001,Hodgson  Dowmns  Street,Carpenraria,085o,NT,08  3571  5696,michaelq1@mail.com,48.113.218.130,TRUE
R308974,pavl,bludford,hadley,m,40,1/2/q980,9  Horbury  Strit,Pillip,26o6,ACT,,paul.hatley@gnail.com,98.191.139.148,FALSE
R759111,rebecca,michelle,collins,f,-22,15/11/1998,38  Gippsland  Street,Jindabyne,2627,NSW,02  5744  4749,collins91@hotmail.com,244.241.162.249,FALSE
R163729,david,anderson,miller,m,36,25/2/1984,36  Skew  Street,Sherwood,4075,QLD,07  4982  4475,david.miller@gmail.com,48.62.144.209,FALSE
R151699,melissa,n,stephenson,f,38,15/2/1982,95  Zetland  Street,Upper  Mount  Gravatt,4122,QLD,07  6823  6268,stephenson.melissa@mail.com.au,188.46.163.19,FALSE
R165821,matthevv,ernestooena,hartenstin,m,50,29/12/1g70,32  Cromwell  Strit,Glenr0y,3o46,VIC,,rspomcmhki@gmail.vom,192.208.95.162,TRUE
R521270,errol,tate,miller,m,32,8/4/1988,50  Panguna  Street,Trinity  Beach,4879,QLD,07  6788  4457,errol.miller@yahoo.com,35.189.225.245,FALSE
R135243,illiam,k,domin9o,m,30,27/1l/1990,10  Maylen  Courd,Hjghfields,4355,QLD,,,85.201.11.49,
R110901,theoclore,grev,deboe,m,26,8/12/q994,Black  Mountain  Rwad,Kurancla,4870,QLD,07  8543  2642,debose.theoclore@yahoo.com,221.19.144.58,
R476738,joseph,anderson,perrine,m,,30/7/1967,47  Dalton  Avenue,Condell  Park,2200,NSW,02  2387  7778,mlgkitolfc@mail.com.au,155.188.165.175,FALSE
R178972,glenn,allen,dean,m,78,15/4/1942,South  Valley  Road,Highton,3216,VIC,03  6634  3932,dean10@hotmail.com,238.194.91.175,FALSE
R132946,sttephanie,iahvin,ludher,f,26,16/8/1q94,36  Copperf'leld  Drive,Ewgleby,42o7,QLD,07  133z  7664,luther73@mail.dom,90.160.38.253,FALSE
R123263,donovan,ray,brown,m,33,15/9/1987,22  First  Avenue,Labrador,4215,QLD,07  2388  5615,donovan.brown@yahoo.com,153.209.57.1x0,FALSE
R773300,rachel,podger,ward,f,24,13/2/1996,211  Cotlew  Street,Ashmore,4214,QLD,07  9025  3506,ward.rachel@yahoo.com,153.59.255.6,
R725791,heather,b,silver,f,26,20/12/1994,Bamawm  Hall  Road,Bamawm,3561,VIC,03  9684  4889,heather23@hotmail.com,93.167.99.28,FALSE
R142903,evam,mcautohr,fafler,m,66,13/12/1054,Late  Vale  Road,Yaas,258z,NSW,02  6707  5257,evan.fad|er@gmail.com,247.116.B.45,
R712889,jamecia,e,hamlett,f,56,22/3/1964,328  Canterbury  Road,Surrey  Hills,3127,VIC,03  3547  5421,hamlett.jamecia@gmail.com,160.165.83.242,FALSE
R168754,rodnye,edwarcl,mo0re,m,20,31/12/2090,Kilveera  Road,Benala,3662,VIC,03  8820  o732,,47.164.121.14,FALSE
R111051,bar1>ara,mitzet,deutsxh,f,32,z4/3/1988,26  Collier  Streeg,Staff0rd,40s3,QLD,07  1|80  7647,dblskncgsd@mail.com,43.32.5.110,FALSE
R100513,willis,barron,strutchen,m,24,9/4/1996,31  Bungarim  Wynd,Sydenham,3037,VIC,03  2970  5761,willis17@gmail.com,114.125.106.18,
R185856,charles,aeristede,price,m,23,26/5/1997,15  Thomas  Drive,Surfers  Paradise,4217,QLD,07  7151  7418,charles66@hotmail.com,58.250.199.183,TRUE
R676465,jasgn,diuglas,endskey,m,,25/q0/1988,Leichhardt  Terace  Leichtodd  Plaza,Alice  Sprigns,087o,NT,08  60y4  0654,jason46@mai1.com.au,219.226.106.220,FALSE
R779717,willis,alexander,thomas,m,56,15/9/1964,14  Crace  Street,Weetangera,2614,ACT,02  3182  2197,thomas62@hotmail.com,6.188.38.41,FALSE
R118554,william,albert,cariaga,m,-28,28/8/1992,69  Alto  Street,South  Wentworthville,2145,NSW,02  6928  1413,william5@yahoo.com,111.203.226.170,FALSE
R167608,bethany,elizabeth,potter,f,20,5/2/2000,11  Cobaki  Place,Forest  Lake,4078,QLD,07  4142  4448,bethany.potter@aol.com,83.173.99.19,FALSE
R172613,donald,wayne,groce,m,33,27/1/1987,Hillier  Road,Howard  Springs,835,NT,08  3290  5699,aosdcmngaf@aol.com,195.138.190.137,FALSE
R687304,patrikk,edwavd,barrinegr,m,67,28/z/1953,13  Langriclge  Street,Wannaissa,2103,ACT,02  4748  2180,patrick.barnnger@mail.com.au,163.1.77.144,FALSE
R148019,sonja,nicole,robertson,f,47,23/1/1973,26  Strahan  Road,Newstead,7250,TAS,03  8127  1846,sonja27@mail.com.au,206.98.206.73,FALSE
R623129,riclcy,iii,goison,m,-40,28/4/2980,253  Hotle  Street,Collinjwood,3006,VIC,03  8838  50q1,jhknpjcbda@mail.com.au,168.142.49.96,TRUE
R762085,patricia,rayette,proctor,f,22,10/6/1998,Fradd  Road,Angle  Vale,5117,SA,08  0210  1525,patricia.proctor@hotmail.com,130.202.110.50,FALSE
R698827,brneda,sprinbs,keer,f,60,26/12/1060,64  Ralelgh  Street,Praharn,318|,VIC,03  00u4  1707,brenda.kerr@gmai|.com,58.88.176.71,FALSE
R105362,5heila,n,colins,f,38,1/11/|982,47  Prpgress  Drive,N:ghtcliff,840,NT,08  1548  4t93,ejllaanpom@aol.com,21.230.223.69,
R153545,dorothy,alicia,salerna,f,38,28/8/1982,137  Blamey  Crescent,Campbell,2612,ACT,02  6859  7402,dorothy.salerna@mail.com,7.182.191.15,
R797543,beverlv,h,upchurcb,f,30,21/12/2990,70  Urakba  Street,Figrtee,25z5,NSW,02  3208  0296,,128.226.106.201,FALSE
R263006,kirx,kene,autfy,m,26,20/u/1994,4  C0njola  Crescent,Leumaeh,2460,NSW,02  7813  3879,,173.159.97.111,
R163854,ashley,ann,arledge,f,30,17/6/1990,8  Callister  Crescent,Theodore,2905,ACT,02  0202  0259,arledge.ashley@mail.com.au,118.236.153.240,FALSE
R169873,wiliam,bro0ks,sedle5,m,28,12/4/|992,69  Murdox  Drive,Greenfieods,621o,WA,08  690q  5605,sedler47@jail.com,132.51.125.35,FALSE
R193260,natham,rav,bek,m,52,26/10/1958,79  Bunberra  Strit,Bomadrrry,2540,NSW,02  1890  0200,beck39@aoi.com,87.196.88.91,TRUE
R154970,willis,allen,tulbert,m,,4/9/1994,23  Greenview  Avenue,Rochedale,4123,QLD,07  4249  0633,willis.tulbert@mail.com.au,49.90.7.200,FALSE
R129891,robert,edward,nixon,m,38,24/10/1982,Hayes  Creek  Wayside  Inn,Hayes  Creek,822,NT,08  9313  1999,nixon.robert@yahoo.com,63.138.119.134,FALSE
R180098,dawn,dawn,urdaneta,f,37,4/4/1983,43  Quiet  Valley  Crescent,Buderim,4556,QLD,07  7954  7667,urdaneta.dawn@aol.com,128.193.91.198,FALSE
R152524,todd,levar,davis,m,16,22/2/2004,9  Gyra  Court,Bundoora,3083,VIC,03  3547  0626,ejlqnfqgbe@gmail.com,244.26.154.245,FALSE
R114221,patsy,ann,tate,f,22,26/2/1998,33  Emily  Street,Seymour,3660,VIC,03  9977  7958,bpnpchhjtb@hotmail.com,92.119.71.144,FALSE
R145828,jennifer,anne,blackwell,f,40,2/12/1980,11  Lauder  Street,Doonside,2767,NSW,02  5465  4083,blackwell.jennifer@aol.com,227.215.15.66,FALSE
R283343,levon,franklin,covington,m,33,1/4/1987,Pin  Oak  Crescent,Victoria  Point,4165,QLD,07  6166  9035,covington.levon@hotmail.com,155.61.79.238,FALSE
R110358,lyudmila,noelle,blessington,f,24,5/5/1996,9  Victoria  Street,Lidcombe,2141,NSW,02  2752  7548,lyudmila57@mail.com,10.33.252.35,
R160520,karen,faye,derewicz,f,42,30/11/1978,James  Lillis  Drive,Yarrawonga,3730,VIC,03  2942  0771,ftkmremmjb@mail.com,115.50.215.202,FALSE
R261606,etta,leigh,crawford,f,33,8/3/1987,McMinns  Drive,Mcminns  Lagoon,822,NT,08  1984  5113,crawford18@gmail.com,150.139.152.206,FALSE
R206652,clayton,peter,stevens,m,20,10/8/2000,209  Thompson  Street,Cootamundra,2590,NSW,02  7701  3207,clayton.stevens@aol.com,98.87.70.21,
R127298,lorri,denise,zia,f,28,27/6/1992,32  Ardcloney  Drive,Sunbury,3429,VIC,03  4116  5644,zia.lorri@mail.com.au,222.65.143.102,FALSE
R162967,lesley,monroe,robbins,m,40,28/1/1980,187  Liberty  Parade,Heidelberg  West,3081,VIC,03  4171  2280,jlqordkjrj@mail.com.au,70.21.40.104,
R276306,tammy,thi,braswell,f,25,30/1/1995,159  Hopkins  Road,Warrnambool,3280,VIC,03  0885  2877,tammy21@aol.com,93.39.67.154,
R154321,brandi,renee,stephenson,f,20,27/12/2000,76  Renwicks  Road,Proserpine,4800,QLD,07  1745  0288,brandi.stephenson@mail.com.au,42.251.190.59,FALSE
R395377,eric,allen,person,m,30,30/1/1990,Galiwinkucommunity,Galiwinku,822,NT,08  7122  0437,eric9@yahoo.com,31.29.235.48,
R791723,geoge,jamej,bornkhuis,m,31,2/8/198g,1541  Upper  Ro5s  River  Road,Kels0,481s,QLD,07  83q9  9807,george93@hotmaik.com,186.226.249.172,
R543138,linta,latoia,maydr,f,36,5/10/1084,41  Dominick  oad,Humpt6  Doo,835,NT,08  4573  2o12,,227.81.198.167,FALSE
R945956,david,shay,wright,m,41,18/6/1979,Avoca  Vineyards,Pomona,2648,NSW,02  8197  7402,david.wright@mail.com.au,161.0.105.119,
R155727,gims,jacob,upchurch,m,19,9/12/2001,60  Bertoli  Road,Jiggi,2480,NSW,02  8740  8534,upchurch24@aol.com,180.141.11.237,
R150297,margaret,m,leath,f,29,18/10/1991,16  Durok  Place,Port  Macquarie,2444,NSW,02  4308  7186,leath.margaret@hotmail.com,214.48.59.206,FALSE
R138065,diane,frances,smith,f,,1/10/1997,81  Wentworth  Street,Oak  Flats,2529,NSW,02  3959  7617,diane95@yahoo.com,82.95.78.69,FALSE
R189472,betty,dobson,settle,f,43,6/11/1977,23  Justinian  Street,Palmyra,6157,WA,08  2319  9864,betty.settle@aol.com,193.232.10.147,TRUE
R685240,grant,allen,field,m,36,2/8/1984,3  Cindy  Court,Runcorn,4113,QLD,07  5134  8650,field87@gmail.com,119.91.143.208,
R108430,nab,carbon,r:ce,f,18,22/|2/2002,44  Phaup  Cresent,Coonawqrra,826,NT,08  6015  08t9,rice98@iiiail.com,252.84.163.219,FALSE
